year,month,rate
2000,1,4.00
2000,2,4.10
2000,3,4.00
2000,4,3.80
2000,5,4.00
2000,6,4.00
2000,7,4.00
2000,8,4.10
2000,9,3.90
2000,10,3.90
2000,11,3.90
2000,12,3.90
2001,1,4.20
2001,2,4.20
2001,3,4.30
2001,4,4.40
2001,5,4.30
2001,6,4.50
2001,7,4.60
2001,8,4.90
2001,9,5.00
2001,10,5.30
2001,11,5.50
2001,12,5.70
2002,1,5.70
2002,2,5.70
2002,3,5.70
2002,4,5.90
2002,5,5.80
2002,6,5.80
2002,7,5.80
2002,8,5.70
2002,9,5.70
2002,10,5.70
2002,11,5.90
2002,12,6.00
2003,1,5.80
2003,2,5.90
2003,3,5.90
2003,4,6.00
2003,5,6.10
2003,6,6.30
2003,7,6.20
2003,8,6.10
2003,9,6.10
2003,10,6.00
2003,11,5.80
2003,12,5.70
2004,1,5.70
2004,2,5.60
2004,3,5.80
2004,4,5.60
2004,5,5.60
2004,6,5.60
2004,7,5.50
2004,8,5.40
2004,9,5.40
2004,10,5.50
2004,11,5.40
2004,12,5.40
2005,1,5.30
2005,2,5.40
2005,3,5.20
2005,4,5.20
2005,5,5.10
2005,6,5.00
2005,7,5.00
2005,8,4.90
2005,9,5.00
2005,10,5.00
2005,11,5.00
2005,12,4.90
2006,1,4.70
2006,2,4.80
2006,3,4.70
2006,4,4.70
2006,5,4.60
2006,6,4.60
2006,7,4.70
2006,8,4.70
2006,9,4.50
2006,10,4.40
2006,11,4.50
2006,12,4.40
2007,1,4.60
2007,2,4.50
2007,3,4.40
2007,4,4.50
2007,5,4.40
2007,6,4.60
2007,7,4.70
2007,8,4.60
2007,9,4.70
2007,10,4.70
2007,11,4.70
2007,12,5.00
2008,1,5.00
2008,2,4.90
2008,3,5.10
2008,4,5.00
2008,5,5.40
2008,6,5.60
2008,7,5.80
2008,8,6.10
2008,9,6.10
2008,10,6.50
2008,11,6.80
2008,12,7.30
2009,1,7.80
2009,2,8.30
2009,3,8.70
2009,4,9.00
2009,5,9.40
2009,6,9.50
2009,7,9.50
2009,8,9.60
2009,9,9.80
2009,10,10.00
2009,11,9.90
2009,12,9.90
2010,1,9.80
2010,2,9.80
2010,3,9.90
2010,4,9.90
2010,5,9.60
2010,6,9.40
2010,7,9.40
2010,8,9.50
2010,9,9.50
2010,10,9.40
2010,11,9.80
2010,12,9.30
2011,1,9.10
2011,2,9.00
2011,3,9.00
2011,4,9.10
2011,5,9.00
2011,6,9.10
2011,7,9.00
2011,8,9.00
2011,9,9.00
2011,10,8.80
2011,11,8.60
2011,12,8.50
2012,1,8.30
2012,2,8.30
2012,3,8.20
2012,4,8.20
2012,5,8.20
2012,6,8.20
2012,7,8.20
2012,8,8.10
2012,9,7.80
2012,10,7.80
2012,11,7.70
2012,12,7.90
2013,1,8.00
2013,2,7.70
2013,3,7.50
2013,4,7.60
2013,5,7.50
2013,6,7.50
2013,7,7.30
2013,8,7.20
2013,9,7.20
2013,10,7.20
2013,11,6.90
2013,12,6.70
2014,1,6.60
2014,2,6.70
2014,3,6.70
2014,4,6.20
2014,5,6.30
2014,6,6.10
2014,7,6.20
2014,8,6.10
2014,9,5.90
2014,10,5.70
2014,11,5.80
2014,12,5.60
2015,1,5.70
2015,2,5.50
2015,3,5.40
2015,4,5.40
2015,5,5.60
2015,6,5.30
